MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LogTransSalePrice,TotBaths,Ext,NeighbourhoodRank,ExtRank
60,RL,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,854,0,1710,3,1,Gd,8,Typ,0,,Attchd,RFn,2,TA,TA,Y,0,61,0,0,0,2,2008,WD,Normal,208500,5.319106059309776,3.5,Vinly,CollgCr,Vinly
20,RL,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,0,0,1262,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,298,0,0,0,0,5,2007,WD,Normal,181500,5.258876629372131,2.5,Metal,Veenker,Metal
60,RL,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,866,0,1786,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0,42,0,0,0,9,2008,WD,Normal,223500,5.349277527467955,3.5,Vinly,CollgCr,Vinly
70,RL,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,756,0,1717,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,3,TA,TA,Y,0,35,272,0,0,2,2006,WD,Abnorml,140000,5.146128035678238,2.0,Wood,Crawfor,Wood
60,RL,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1053,0,2198,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,TA,TA,Y,192,84,0,0,0,12,2008,WD,Normal,250000,5.3979400086720375,3.5,Vinly,NoRidge,Vinly
50,RL,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,566,0,1362,1,1,TA,5,Typ,0,,Attchd,Unf,2,TA,TA,Y,40,30,0,320,0,10,2009,WD,Normal,143000,5.155336037465061,2.5,Vinly,Mitchel,Vinly
20,RL,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,0,0,1694,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,255,57,0,0,0,8,2007,WD,Normal,307000,5.487138375477186,3.0,Vinly,Somerst,Vinly
60,RL,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,983,0,2090,3,1,TA,7,Typ,2,TA,Attchd,RFn,2,TA,TA,Y,235,204,228,0,0,11,2009,WD,Normal,200000,5.301029995663981,3.5,Wood,NWAmes,Wood
50,RM,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,752,0,1774,2,2,TA,8,Min1,2,TA,Detchd,Unf,2,Fa,TA,Y,90,0,205,0,0,4,2008,WD,Abnorml,129900,5.113609151073028,2.0,Brick,OldTown,Brick
190,RL,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,0,0,1077,2,2,TA,5,Typ,2,TA,Attchd,RFn,1,Gd,TA,Y,0,4,0,0,0,1,2008,WD,Normal,118000,5.071882007306125,2.0,Metal,BrkSide,Metal
20,RL,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,0,0,1040,3,1,TA,5,Typ,0,,Detchd,Unf,1,TA,TA,Y,0,0,0,0,0,2,2008,WD,Normal,129500,5.112269768417271,2.0,Wood,Sawyer,Wood
